Date ;Region id ;Region ;DL ;Danger level ;Problem order ;Problem ;Cause/ weaklayer ;Type ;Size ;Trigger ;Probability ;Distribution
2014-12-13 ;110 ;Senja ;1 ;1 Liten ;1 ;Fokksnø (flakskred) ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;1 - Små ;Liten tilleggsbelastning ;Mulig  ;Få bratte heng
2014-12-14 ;110 ;Senja ;2 ;2 Moderat ;1 ;Fokksnø (flakskred) ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;Noen bratte heng
2014-12-15 ;110 ;Senja ;1 ;1 Liten ;1 ;Fokksnø (flakskred) ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;1 - Små ;Liten tilleggsbelastning ;Mulig  ;Få bratte heng
2014-12-16 ;110 ;Senja ;1 ;1 Liten ;1 ;Fokksnø (flakskred) ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;1 - Små ;Liten tilleggsbelastning ;Mulig  ;Få bratte heng
2014-12-17 ;110 ;Senja ;2 ;2 Moderat ;1 ;Nysnø ;Nedføyket svakt lag med nysnø ;Tørre flakskred ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;Noen bratte heng
2014-12-18 ;110 ;Senja ;1 ;1 Liten ;1 ;Nysnø ;Nedføyket svakt lag med nysnø ;Tørre flakskred ;1 - Små ;Liten tilleggsbelastning ;Mulig  ;Noen bratte heng
2014-12-19 ;110 ;Senja ;1 ;1 Liten ;1 ;Nysnø ;Nedføyket svakt lag med nysnø ;Tørre flakskred ;1 - Små ;Liten tilleggsbelastning ;Mulig  ;Noen bratte heng
2014-12-20 ;110 ;Senja ;1 ;1 Liten ;1 ;Fokksnø (flakskred) ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;1 - Små ;Stor tilleggsbelastning ;Mulig  ;Få bratte heng
2014-12-21 ;110 ;Senja ;1 ;1 Liten ;1 ;Fokksnø (flakskred) ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;1 - Små ;Stor tilleggsbelastning ;Mulig  ;Få bratte heng
2014-12-22 ;110 ;Senja ;1 ;1 Liten ;1 ;Fokksnø (flakskred) ;Dårlig binding mellom lag i fokksnøen ;Tørre flakskred ;1 - Små ;Stor tilleggsbelastning ;Mulig  ;Få bratte heng
2014-12-23 ;110 ;Senja ;2 ;2 Moderat ;1 ;Vedvarende svakt lag (flakskred) ;Nedsnødd eller nedføyket overflaterim ;Tørre flakskred ;2 - Middels ;Liten tilleggsbelastning ;Mulig  ;Noen bratte heng
