Dato;Døde;Involvert;Aktivitet;Utløst;Sted;Kommune;Fylke;regobs.no regID;varsom.no nyhet eller rapport;Beskrivelse
06.03.18;0;1;Ski;M;Sandnestinden;Fræna;M&R;149157;;Skiløpere fjernutløste lite skred. Ingen tatt. Ingen skadet.
04.03.18;0;9;Ski;M;Vannaksla;Karlsøy;Troms;149056;;Gruppe på 9 utløste skred og alle ble tatt. 1 skadet, 2 fraktet til UNN
04.03.18;0;3;Ski;M;Bollfjellet;Tjeldsund;Nord.;148850;;Skiløper i gruppe på 3 falt og fjernutløste skred Ble ført med 10 meter. Kom seg ut selv. Ikke skadet.
04.03.18;0;1;Ski;M;Hornaberg;Voss;Hord.;148925;;Fjellskiløper fjernutløste lite skred. Ingen tatt. Ingen skadet
03.03.18;0;1;Ski;M;Haukelifjell;Odda;Hord.;148683;;Skiløper utløste løssnøskred som igjen utløste flakskred. Ingen tatt. Ingen skadet.
03.03.18;0;1;Ski;M;Skitntinden;Tromsø;Troms;148662;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet
03.03.18;0;1;Ski;M;Låvan;Kvænangen;Finn.;148685;;Skiløper fjernutløste skred på 200 meters avstand. Ingen tatt.
03.03.18;0;1;Ski;M;Trollvatnet;Karlsøy;Troms;148720;;Skiløper på isfisketur fjernutløste skred i lite heng. Ingen tatt. Ingen skadet.
02.03.18;0;3;Ski;M;Vetlebotn;Sogndal;S&F;148541;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
02.03.18;0;1;Ski;M;Storhøi;Lom;Oppl.;148633;;Skiløperutløst skred. Ført med skredmassene 50 meter. Ikke begravd. Kom seg ut ved egen hjelp. Ikke skadet.
02.03.18;0;1;Ski;M;Nipa;Jølster;S&F;148555;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
02.03.18;0;1;Ski;M;Storebotnen;Førde;S&F;148504;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
01.03.18;0;3;Ski;M;Langfjordbotn;Alta;Finn.;148543;;Skoleklasse på tur utløste skred. 3 tatt. En skadet og fløyet til sykehus
01.03.18;0;2;Ski;M;Sjufjellet;Balsfjord;Troms;148338;;Gruppe utløste skred. Ingen tatt. Ingen skadet
01.03.18;0;1;Ski;M;Hans Meyer fjellet;Vågan;Nord.;148650;;Skiløperutløst lite skred. Ingen tatt. Ingen skadet.
01.03.18;0;3;Snøskuter;M;Stora Dygråtjødn;Sirdal;V-A;148587;;Snøøscooterfølge på 3 fjernutløste skred. Ingen tatt. Ingen skadet.
28.02.18;0;0;Bil;N;Tusenvikskardet;Sør-Varanger;Finn.;148152;;Skred over vei.  Bil kjøret inn i skredet. Ingen skadet
28.02.18;0;2;Ski;M;Vidden;Bergen;Hord.;148177;;Skiløper løste ut skred og ble ført med et stykke nedover. Kom seg ut for egen hjelp. Ikke skadet.
28.02.18;0;1;Ski;M;Storebottseggi;Voss;Hord.;148167;;Skiløperutløste lite skred. Ble tatt, men ikke skadet.
